smiles,ic50_value,is_active,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeteroatoms,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,Delta_MolWt,ZScore_MolWt,Delta_LogP,ZScore_LogP,Delta_TPSA,ZScore_TPSA,Delta_NumHDonors,ZScore_NumHDonors,Delta_NumHAcceptors,ZScore_NumHAcceptors,Delta_NumRotatableBonds,ZScore_NumRotatableBonds,Delta_NumHeteroatoms,ZScore_NumHeteroatoms,Delta_NumAromaticRings,ZScore_NumAromaticRings,Delta_RingCount,ZScore_RingCount,Delta_FractionCSP3,ZScore_FractionCSP3,Delta_HeavyAtomCount,ZScore_HeavyAtomCount,MN_num_nodes,MN_num_metabolites,MN_num_reactions,MN_num_edges,MN_avg_degree,MN_std_degree,MN_max_degree,MN_density
NCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,0.5,1,345.3740000000001,1.9586999999999999,88.56,2,5,4,7,2,4,0.4444444444444444,25,-93.47102710551798,-0.8729316640823538,-0.74350146176186,-0.5219643252927695,-22.00947725072602,-0.5778713912107699,-0.5837366892545983,-0.48695101064299107,-1.4878993223620522,-0.6081153585118425,-0.24588576960309805,-0.09402566535759393,-2.646660212971927,-0.8565073137001026,-0.6689254598257501,-0.909075722117458,-0.2904162633107452,-0.22782974347666796,0.11285334314068474,0.7219735104413677,-5.48402710551791,-0.7334180359224288,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(C(=O)N5CCC(F)(F)CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,6400.0,0,535.4790000000003,1.7288999999999994,134.07999999999998,2,8,1,14,2,6,0.5416666666666666,38,96.63397289448221,0.9024706091058844,-0.9733014617618605,-0.6832920537790615,23.51052274927396,0.6172821977753805,-0.5837366892545983,-0.48695101064299107,1.5121006776379478,0.6180066297953793,-3.245885769603098,-1.2412128186772131,4.353339787028073,1.408819820669115,-0.6689254598257501,-0.909075722117458,1.7095837366892548,1.3411577565993198,0.21007556536290695,1.3439477215481335,7.51597289448209,1.0051646303445252,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
COc1cncc(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)n1,1100.0,0,496.4550000000002,1.3231999999999995,148.77999999999997,2,10,2,13,3,6,0.391304347826087,36,57.609972894482155,0.5380230758537455,-1.3790014617618604,-0.9681078042006829,38.21052274927395,1.0032390905279378,-0.5837366892545983,-0.48695101064299107,3.5121006776379478,1.4354212886668605,-2.245885769603098,-0.8588171009040068,3.353339787028073,1.0852016586163695,0.33107454017424987,0.44993328070068134,1.7095837366892548,1.3411577565993198,0.05971324652232729,0.3820124509544401,5.51597289448209,0.7376903739957631,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(-c5ccnc(NCCO)n5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,300.0,1,525.4970000000003,0.7187999999999996,171.80999999999997,4,11,4,14,3,6,0.4166666666666667,38,86.65197289448224,0.8092480979096248,-1.9834014617618605,-1.3924179830393024,61.24052274927395,1.6079048891736112,1.4162633107454017,1.1814416725882186,4.512100677637948,1.844128618102601,-0.24588576960309805,-0.09402566535759393,4.353339787028073,1.408819820669115,0.33107454017424987,0.44993328070068134,1.7095837366892548,1.3411577565993198,0.085075565362907,0.5442665929822921,7.51597289448209,1.0051646303445252,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
N#Cc1cnc2ccc(=O)n(CCN[C@H]3CC[C@H]4[C@H](C3)OC(=O)N4c3ccc4c(n3)NC(=O)CO4)c2c1,90.0,1,501.50300000000027,1.5301799999999992,151.46999999999997,2,10,5,12,3,6,0.36,37,62.657972894482214,0.5851666579533975,-1.1720214617618607,-0.8228005229034999,40.90052274927395,1.073866576344562,-0.5837366892545983,-0.48695101064299107,3.5121006776379478,1.4354212886668605,0.754114230396902,0.2883700524156125,2.353339787028073,0.7615834965636241,0.33107454017424987,0.44993328070068134,1.7095837366892548,1.3411577565993198,0.028408898696240303,0.18174448136577692,6.51597289448209,0.8714275021701442,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(N)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,500.0,1,403.37000000000006,0.43979999999999986,139.79,3,8,0,11,2,5,0.4444444444444444,29,-35.475027105517995,-0.33130345737645484,-2.26240146176186,-1.588285851828142,29.220522749273968,0.7672015078173605,0.4162633107454017,0.3472453309726138,1.5121006776379478,0.6180066297953793,-4.245885769603098,-1.6236085364504196,1.353339787028073,0.4379653345108788,-0.6689254598257501,-0.909075722117458,0.7095837366892548,0.5566640065613259,0.11285334314068474,0.7219735104413677,-1.4840271055179102,-0.19846952322490452,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(NCc5nccs5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,1900.0,0,500.5120000000003,1.9261999999999995,138.68999999999997,3,10,3,13,3,6,0.4090909090909091,35,61.66697289448223,0.5759116480760691,-0.7760014617618605,-0.5447804748828676,28.120522749273945,0.738320379788257,0.4162633107454017,0.3472453309726138,3.5121006776379478,1.4354212886668605,-1.245885769603098,-0.47642138313080035,3.353339787028073,1.0852016586163695,0.33107454017424987,0.44993328070068134,1.7095837366892548,1.3411577565993198,0.07749980778714943,0.4958010700389078,4.51597289448209,0.603953245821382,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(NCC5CCOCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,2900.0,0,501.5150000000002,1.6960999999999997,135.02999999999997,3,9,3,12,2,6,0.5833333333333334,36,62.66997289448216,0.5852787266905594,-1.0061014617618602,-0.7063188139807601,24.46052274927395,0.6422249901641509,0.4162633107454017,0.3472453309726138,2.5121006776379478,1.0267139592311199,-1.245885769603098,-0.47642138313080035,2.353339787028073,0.7615834965636241,-0.6689254598257501,-0.909075722117458,1.7095837366892548,1.3411577565993198,0.2517422320295737,1.6105080977367479,5.51597289448209,0.7376903739957631,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(C5CC5)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,600.0,1,444.87500000000017,2.2493,113.77,2,7,1,10,2,6,0.5238095238095238,31,6.029972894482114,0.056314287284011444,-0.4529014617618601,-0.3179528461886946,3.200522749273972,0.0840315520743983,-0.5837366892545983,-0.48695101064299107,0.5121006776379478,0.2092993003596387,-3.245885769603098,-1.2412128186772131,0.353339787028073,0.11434717245813346,-0.6689254598257501,-0.909075722117458,1.7095837366892548,1.3411577565993198,0.19221842250576415,1.2297075603244423,0.5159728944820898,0.06900473312385766,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
C[C@@H]1CN2c3c(cc4c(N(C)C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,300.0,1,431.4240000000001,0.9236000000000001,117.01,2,8,1,11,2,5,0.5,31,-7.421027105517965,-0.06930542801361413,-1.77860146176186,-1.2486411388530856,6.440522749273981,0.1690996019055745,-0.5837366892545983,-0.48695101064299107,1.5121006776379478,0.6180066297953793,-3.245885769603098,-1.2412128186772131,1.353339787028073,0.4379653345108788,-0.6689254598257501,-0.909075722117458,0.7095837366892548,0.5566640065613259,0.16840889869624032,1.0773873453595197,0.5159728944820898,0.06900473312385766,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
